Level	Date and Time	Source	Event ID	Task Category
Information	9/21/2016 2:28:35 PM	Lfsvc	1	None	Geolocation positioning is enabled.
Information	9/21/2016 2:28:33 PM	Microsoft-Windows-WLAN-AutoConfig	10001	None	"WLAN Extensibility Module has successfully started.

Module Path: C:\Windows\System32\IWMSSvc.dll
"
Information	9/21/2016 2:28:32 PM	VMnetuserif	1	None	() Starting up the User Interface Driver for VMware Virtual Networks.
Information	9/21/2016 2:28:32 PM	vmx86	34	None	"The description for Event ID 34 from source vmx86 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

VMX86.SYS: begin DriverEntry built @ 17:11:03
"
Information	9/21/2016 2:28:32 PM	RFCOMM	1	None	Bluetooth has accepted service {00000000-0000-0000-0000-000000000000} on remote device (00:21:3c:a6:b0:f3) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:32 PM	RFCOMM	1	None	Bluetooth has accepted service {00000000-0000-0000-0000-000000000000} on remote device (00:00:00:00:00:00) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:31 PM	Win32k	267	None	"The description for Event ID 267 from source Win32k cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The specified resource type cannot be found in the image file
"
Information	9/21/2016 2:28:31 PM	Microsoft-Windows-WLAN-AutoConfig	4000	None	"WLAN AutoConfig service has successfully started.
"
Information	9/21/2016 2:28:31 PM	RFCOMM	1	None	Bluetooth has accepted service {00000000-0000-0000-0000-000000000000} on remote device (00:00:00:00:00:00) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:31 PM	BTHUSB	37	None	Bluetooth radio has accepted discoverability due to policy Bluetooth\AllowDiscoverableMode.
Information	9/21/2016 2:28:31 PM	RFCOMM	1	None	Bluetooth has accepted service {00000000-0000-0000-0000-000000000000} on remote device (00:00:00:00:00:00) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:31 PM	BTHUSB	35	None	Bluetooth radio enablement has been accepted due to policy Connectivity\AllowBluetooth.
Information	9/21/2016 2:28:31 PM	BTHUSB	36	None	Bluetooth radio has accepted advertising due to policy Bluetooth\AllowAdvertising.
Information	9/21/2016 2:28:31 PM	BTHUSB	37	None	Bluetooth radio has accepted discoverability due to policy Bluetooth\AllowDiscoverableMode.
Information	9/21/2016 2:28:31 PM	BTHUSB	34	None	A Bluetooth policy has changed.  Policy Bluetooth\ServicesAllowedList has value of: *
Information	9/21/2016 2:28:31 PM	BTHUSB	34	None	A Bluetooth policy has changed.  Policy Bluetooth\AllowAdvertising has value of: 1
Information	9/21/2016 2:28:31 PM	BTHUSB	34	None	A Bluetooth policy has changed.  Policy Bluetooth\AllowDiscoverableMode has value of: 1
Information	9/21/2016 2:28:31 PM	BTHUSB	34	None	A Bluetooth policy has changed.  Policy Connectivity\AllowBluetooth has value of: 2
Information	9/21/2016 2:28:31 PM	VMnetBridge	10	None	() Starting up the Bridge Driver for VMware Virtual Networks.
Warning	9/21/2016 2:28:31 PM	Microsoft-Windows-TaskScheduler	414	Task Misconfiguration	Task Scheduler service found a misconfiguration in the NT TASK\DolbySelectorTask definition. Additional Data: Error Value: %ProgramFiles%\Dolby Digital Plus\ddp.exe.
Information	9/21/2016 2:28:31 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'wcnfs' (10.0, ‎2016‎-‎07‎-‎15T20:28:27.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:31 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'storqosflt' (10.0, ‎2016‎-‎07‎-‎15T20:26:43.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:31 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'luafv' (10.0, ‎2016‎-‎07‎-‎15T20:21:48.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:31 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'wcifs' (10.0, ‎2016‎-‎07‎-‎15T20:27:16.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:31 PM	Microsoft-Windows-DHCPv6-Client	51046	Service State Event	DHCPv6 client service is started
Information	9/21/2016 2:28:30 PM	Microsoft-Windows-Dhcp-Client	50036	Service State Event	DHCPv4 client service is started
Information	9/21/2016 2:28:30 PM	Win32k	267	None	"The description for Event ID 267 from source Win32k cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The specified resource type cannot be found in the image file
"
Information	9/21/2016 2:28:30 PM	Microsoft-Windows-Directory-Services-SAM	16962	None	"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information	9/21/2016 2:28:29 PM	Microsoft-Windows-Wininit	14	None	Credential Guard (LsaIso.exe) configuration: 0x0, 0
Information	9/21/2016 2:28:27 PM	Microsoft-Windows-Ntfs	98	None	Volume E: (\Device\HarddiskVolume6) is healthy.  No action is needed.
Information	9/21/2016 2:28:27 PM	Microsoft-Windows-Ntfs	98	None	Volume F: (\Device\HarddiskVolume5) is healthy.  No action is needed.
Information	9/21/2016 2:28:25 PM	e1dexpress	32	None	"Intel(R) Ethernet Connection (3) I218-LM
 Network link has been established at 1Gbps full duplex.
"
Information	9/21/2016 2:28:25 PM	BthEnum	1	None	Bluetooth has accepted service {0000111e-0000-1000-8000-00805f9b34fb} on remote device (00:21:3c:a6:b0:f3) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:25 PM	BthEnum	1	None	Bluetooth has accepted service {0000110e-0000-1000-8000-00805f9b34fb} on remote device (00:21:3c:a6:b0:f3) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:25 PM	BthEnum	1	None	Bluetooth has accepted service {0000110c-0000-1000-8000-00805f9b34fb} on remote device (00:21:3c:a6:b0:f3) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:25 PM	BthEnum	1	None	Bluetooth has accepted service {0000110b-0000-1000-8000-00805f9b34fb} on remote device (00:21:3c:a6:b0:f3) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:25 PM	BthEnum	1	None	Bluetooth has accepted service {00001101-0000-1000-8000-00805f9b34fb} on remote device (00:21:3c:a6:b0:f3) due to policy Bluetooth\ServicesAllowedList.
Information	9/21/2016 2:28:25 PM	BthEnum	1	None	Bluetooth has accepted service {00001101-0000-1000-8000-00805f9b34fb} on remote device (00:00:00:00:00:00) due to policy Bluetooth\ServicesAllowedList.
Warning	9/21/2016 2:28:24 PM	Microsoft-Windows-Kernel-PnP	219	(212)	The driver \Driver\WUDFRd failed to load for the device USB\VID_17E9&PID_4307&MI_01\7&8d2da4c&0&0001.
Information	9/21/2016 2:28:24 PM	Microsoft-Windows-DriverFrameworks-UserMode	10114	Startup of the UMDF reflector	WUDFPf (part of UMDF) did not load yet. After it does, Windows will start the device again.
Warning	9/21/2016 2:28:24 PM	Microsoft-Windows-Kernel-PnP	219	(212)	The driver \Driver\WUDFRd failed to load for the device USB\VID_17E9&PID_4307&MI_00\7&8d2da4c&0&0000.
Information	9/21/2016 2:28:24 PM	Microsoft-Windows-DriverFrameworks-UserMode	10114	Startup of the UMDF reflector	WUDFPf (part of UMDF) did not load yet. After it does, Windows will start the device again.
Information	9/21/2016 2:28:24 PM	BTHUSB	18	None	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Warning	9/21/2016 2:28:24 PM	Microsoft-Windows-Kernel-PnP	219	(212)	The driver \Driver\WUDFRd failed to load for the device USB\VID_138A&PID_0017\ed7a1ef73db9.
Information	9/21/2016 2:28:24 PM	Microsoft-Windows-DriverFrameworks-UserMode	10114	Startup of the UMDF reflector	WUDFPf (part of UMDF) did not load yet. After it does, Windows will start the device again.
Information	9/21/2016 2:28:24 PM	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{33e9f129-0000-0000-0000-206f70000000} (\Device\HarddiskVolume3) is healthy.  No action is needed.
Information	9/21/2016 2:28:24 PM	Microsoft-Windows-Ntfs	98	None	Volume D: (\Device\HarddiskVolume4) is healthy.  No action is needed.
Information	9/21/2016 2:28:22 PM	Netwtw04	7002	None	"The description for Event ID 7002 from source Netwtw04 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP5
Intel(R) Dual Band Wireless-AC 7265

The specified resource type cannot be found in the image file
"
Information	9/21/2016 2:28:22 PM	Netwtw04	7002	None	"The description for Event ID 7002 from source Netwtw04 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP5
Intel(R) Dual Band Wireless-AC 7265

The specified resource type cannot be found in the image file
"
Information	9/21/2016 2:28:22 PM	Netwtw04	7001	None	"The description for Event ID 7001 from source Netwtw04 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP5
Intel(R) Dual Band Wireless-AC 7265

The specified resource type cannot be found in the image file
"
Information	9/21/2016 2:28:22 PM	Netwtw04	7001	None	"The description for Event ID 7001 from source Netwtw04 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP5
Intel(R) Dual Band Wireless-AC 7265

The specified resource type cannot be found in the image file
"
Information	9/21/2016 2:28:22 PM	Netwtw04	7036	None	The \Device\NDMP5 service entered the Intel(R) Dual Band Wireless-AC 7265 state.
Information	9/21/2016 2:28:21 PM	MEIx64	2	None	Intel(R) Management Engine Interface driver has started successfully.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2594
Maximum performance percentage: 123
Minimum performance percentage: 19
Minimum throttle percentage: 1"
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2594
Maximum performance percentage: 123
Minimum performance percentage: 19
Minimum throttle percentage: 1"
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2594
Maximum performance percentage: 123
Minimum performance percentage: 19
Minimum throttle percentage: 1"
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2594
Maximum performance percentage: 123
Minimum performance percentage: 19
Minimum throttle percentage: 1"
Warning	9/21/2016 2:28:21 PM	Microsoft-Windows-Kernel-PnP	219	(212)	The driver \Driver\WUDFRd failed to load for the device ROOT\SYSTEM\0001.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-DriverFrameworks-UserMode	10114	Startup of the UMDF reflector	WUDFPf (part of UMDF) did not load yet. After it does, Windows will start the device again.
Warning	9/21/2016 2:28:21 PM	Microsoft-Windows-Kernel-PnP	219	(212)	The driver \Driver\WudfRd failed to load for the device ROOT\WPD\0000.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-DriverFrameworks-UserMode	10114	Startup of the UMDF reflector	WUDFPf (part of UMDF) did not load yet. After it does, Windows will start the device again.
Information	9/21/2016 2:28:21 PM	VMnetAdapter	36	None	() Starting up the Adapter Driver for VMware Virtual Networks.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Disconnected, Reason: NIC compliance
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'npsvctrig' (10.0, ‎2016‎-‎07‎-‎15T20:28:33.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileCrypt' (10.0, ‎2016‎-‎07‎-‎15T20:22:39.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-Ntfs	98	None	Volume C: (\Device\HarddiskVolume2) is healthy.  No action is needed.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{33e9f129-0000-0000-0000-100000000000} (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information	9/21/2016 2:28:21 PM	TPM	24	None	The Trusted Platform Module (TPM) status: Enabled and Active.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'WdFilter' (10.0, ‎2016‎-‎07‎-‎15T20:25:21.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'file_tracker' (6.3, ‎2016‎-‎02‎-‎08T03:52:31.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'Wof' (10.0, ‎2016‎-‎08‎-‎05T21:45:24.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:21 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileInfo' (10.0, ‎2016‎-‎07‎-‎15T20:26:05.000000000Z) has successfully loaded and registered with Filter Manager.
Information	9/21/2016 2:28:20 PM	Microsoft-Windows-Kernel-Boot	30	(21)	The firmware reported boot metrics.
Information	9/21/2016 2:28:20 PM	Microsoft-Windows-Kernel-Boot	32	None	The bootmgr spent 0 ms waiting for user input.
Information	9/21/2016 2:28:20 PM	Microsoft-Windows-Kernel-Boot	18	None	There are 0x1 boot options on this system.
Information	9/21/2016 2:28:20 PM	Microsoft-Windows-Kernel-Boot	25	(32)	The boot menu policy was 0x1.
Information	9/21/2016 2:28:20 PM	Microsoft-Windows-Kernel-Boot	27	(33)	The boot type was 0x0.
Information	9/21/2016 2:28:20 PM	Microsoft-Windows-Kernel-Boot	20	(31)	The last shutdown's success status was true. The last boot's success status was true.
Information	9/21/2016 2:28:20 PM	Microsoft-Windows-Kernel-Boot	153	None	The Virtualization Based Security (policies: 0) is disabled with status STATUS_SUCCESS.
Information	9/21/2016 2:28:20 PM	Microsoft-Windows-Kernel-General	12	(1)	The operating system started at system time ‎2016‎-‎09‎-‎21T20:28:20.488148600Z.
Information	9/21/2016 2:28:30 PM	EventLog	6013	None	The system uptime is 10 seconds.
Information	9/21/2016 2:28:30 PM	EventLog	6005	None	The Event log service was started.
Information	9/21/2016 2:28:30 PM	EventLog	6009	None	Microsoft (R) Windows (R) 10.00. 14393  Multiprocessor Free.
Information	9/21/2016 2:27:55 PM	Microsoft-Windows-DHCPv6-Client	51047	Service State Event	DHCPv6 client service is stopped. ShutDown Flag value is 1
Information	9/21/2016 2:27:55 PM	EventLog	6006	None	The Event log service was stopped.
Error	9/21/2016 2:27:45 PM	Service Control Manager	7031	None	The VMware Workstation Server service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.
Information	9/21/2016 2:27:45 PM	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Error	9/21/2016 2:27:44 PM	Microsoft-Windows-DistributedCOM	10010	None	The server {1EF75F33-893B-4E8F-9655-C3D602BA4897} did not register with DCOM within the required timeout.
Error	9/21/2016 2:27:44 PM	Microsoft-Windows-DistributedCOM	10010	None	The server {1EF75F33-893B-4E8F-9655-C3D602BA4897} did not register with DCOM within the required timeout.
Error	9/21/2016 2:27:44 PM	Microsoft-Windows-DistributedCOM	10010	None	The server {1EF75F33-893B-4E8F-9655-C3D602BA4897} did not register with DCOM within the required timeout.
Error	9/21/2016 2:27:44 PM	Microsoft-Windows-DistributedCOM	10010	None	The server {1EF75F33-893B-4E8F-9655-C3D602BA4897} did not register with DCOM within the required timeout.
Error	9/21/2016 2:27:44 PM	Microsoft-Windows-DistributedCOM	10010	None	The server {1EF75F33-893B-4E8F-9655-C3D602BA4897} did not register with DCOM within the required timeout.
Error	9/21/2016 2:27:44 PM	Microsoft-Windows-DistributedCOM	10010	None	The server {1EF75F33-893B-4E8F-9655-C3D602BA4897} did not register with DCOM within the required timeout.
Information	9/21/2016 2:27:41 PM	User32	1074	None	"The process C:\Windows\Explorer.EXE (DESKTOP-EEMI531) has initiated the restart of computer DESKTOP-EEMI531 on behalf of user DESKTOP-EEMI531\AndyL for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: restart
 Comment: "
Information	9/21/2016 12:37:27 PM	Microsoft-Windows-Kernel-General	11	None	TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy9\Windows\System32\config\DRIVERS (TM: {639B9C69-801D-11E6-A66A-185E0F79BF66}, RM: {639B9C68-801D-11E6-A66A-185E0F79BF66}) finished with result=0xC00000A2 (Internal code=7).
Information	9/21/2016 12:37:27 PM	Microsoft-Windows-Kernel-General	11	None	TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy9\Windows\System32\config\SYSTEM (TM: {639B9C67-801D-11E6-A66A-185E0F79BF66}, RM: {639B9C66-801D-11E6-A66A-185E0F79BF66}) finished with result=0xC00000A2 (Internal code=7).
Information	9/21/2016 12:37:13 PM	Microsoft-Windows-Kernel-General	11	None	TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy12\Windows\System32\config\DRIVERS (TM: {639B9C41-801D-11E6-A66A-185E0F79BF66}, RM: {639B9C40-801D-11E6-A66A-185E0F79BF66}) finished with result=0xC00000A2 (Internal code=7).
Information	9/21/2016 12:37:13 PM	Microsoft-Windows-Kernel-General	11	None	TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy12\Windows\System32\config\SYSTEM (TM: {639B9C3E-801D-11E6-A66A-185E0F79BF66}, RM: {639B9C3D-801D-11E6-A66A-185E0F79BF66}) finished with result=0xC00000A2 (Internal code=7).
Information	9/21/2016 12:00:00 PM	EventLog	6013	None	The system uptime is 3361 seconds.
Information	9/21/2016 11:57:23 AM	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2016‎-‎09‎-‎21T17:57:23.520000000Z from ‎2016‎-‎09‎-‎21T17:57:23.520896100Z.

Change Reason: An application or system component changed the time."
Information	9/21/2016 11:57:23 AM	Microsoft-Windows-Time-Service	35	None	The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.76.58.209:123).
Information	9/21/2016 11:57:09 AM	Microsoft-Windows-Time-Service	37	None	The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.76.58.209:123).
Information	9/21/2016 11:57:07 AM	Microsoft-Windows-Time-Service	158	None	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information	9/21/2016 11:33:44 AM	Microsoft-Windows-Ntfs	98	None	Volume F: (\Device\HarddiskVolume7) is healthy.  No action is needed.
Information	9/21/2016 11:05:47 AM	Service Control Manager	7045	None	"A service was installed in the system.

Service Name:  Power Manager DBC Service
Service File Name:  ""C:\Program Files (x86)\ThinkPad\Utilities\PWMDBSVC.EXE""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information	9/21/2016 11:04:58 AM	Microsoft-Windows-TPM-WMI	1026	None	"The Trusted Platform Module (TPM) hardware on this computer cannot be provisioned for use automatically.  To set up the TPM interactively use the TPM management console (Start->tpm.msc) and use the action to make the TPM ready.

Error: The TPM provisioning action is not allowed by the specified flags.  For provisioning to be successful, one of several actions may be required.  The TPM management console (tpm.msc) action to make the TPM Ready may help.  For further information, see the documentation for the Win32_Tpm WMI method 'Provision'.  (The actions that may be required include importing the TPM Owner Authorization value into the system, calling the Win32_Tpm WMI method for provisioning the TPM and specifying TRUE for either 'ForceClear_Allowed' or 'PhysicalPresencePrompts_Allowed' (as indicated by the value returned in the Additional Information), or enabling the TPM in the system BIOS.)
Additional Information: 0x80011c"
Information	9/21/2016 11:04:32 AM	Microsoft-Windows-TPM-WMI	1026	None	"The Trusted Platform Module (TPM) hardware on this computer cannot be provisioned for use automatically.  To set up the TPM interactively use the TPM management console (Start->tpm.msc) and use the action to make the TPM ready.

Error: The TPM provisioning action is not allowed by the specified flags.  For provisioning to be successful, one of several actions may be required.  The TPM management console (tpm.msc) action to make the TPM Ready may help.  For further information, see the documentation for the Win32_Tpm WMI method 'Provision'.  (The actions that may be required include importing the TPM Owner Authorization value into the system, calling the Win32_Tpm WMI method for provisioning the TPM and specifying TRUE for either 'ForceClear_Allowed' or 'PhysicalPresencePrompts_Allowed' (as indicated by the value returned in the Additional Information), or enabling the TPM in the system BIOS.)
Additional Information: 0x80011c"
Error	9/21/2016 11:04:16 AM	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	9/21/2016 11:04:16 AM	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	9/21/2016 11:04:16 AM	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{8D8F4F83-3594-4F07-8369-FC3C3CAE4919}
 and APPID 
{F72671A9-012C-4725-9D2F-2A4D32D65169}
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	9/21/2016 11:04:16 AM	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	9/21/2016 11:04:14 AM	Lfsvc	1	None	Geolocation positioning is enabled.
Information	9/21/2016 11:04:13 AM	TPM	18	None	This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information	9/21/2016 11:04:13 AM	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) did not load: 
cdrom
dam"
Information	9/21/2016 11:04:12 AM	Microsoft-Windows-WLAN-AutoConfig	10001	None	"WLAN Extensibility Module has successfully started.

Module Path: C:\Windows\System32\IWMSSvc.dll
"
Information	9/21/2016 11:04:11 AM	VMnetuserif	1	None	() Starting up the User Interface Driver for VMware Virtual Networks.
